CODIGO;CODIGO EQUIVALENTE;LOCALIZAÇÃO;QUANTIDADE;;FORNECEDOR;FAMILIA;OBSER;;;ENTRADA;SAIDA;
CODIGO;CODIGO EQUIVALENTE;LOCALIZAÇAO;QUANTIDADE;QTD;FORNECEDOR;FAMILIA;OBSER;Coluna9;DESCRICAO;ENTRADA;SAIDA;O
1336FLA2;1336FLA2;F;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1336PBSP23D;1336PBSP23D;F;3;0;ALLEN BRADLEY;;;#N/D;;3;0;
1403-BA;1403-BA;F 06;1;0;ALLEN BRADLEY;;BATTERY;#N/D;;1;0;
1403CF003;1403CF003;F;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
1403CF020;1403CF020;F 39;3;0;ALLEN BRADLEY;;;#N/D;;3;0;
140GG6C3C50;140GG6C3C50;F 33;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
140GGRMX;140GGRMX;F 33;6;0;ALLEN BRADLEY;;;#N/D;;6;0;
140GGTC3H;140GGTC3H;F 33;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140GHEA3R1A;140GHEA3R1A;F 26;3;0;ALLEN BRADLEY;;;#N/D;;3;0;
140GNRPE10;140GNRPE10;F 26;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140MC2EB16;140MC2EB16;F;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
140MC2EB63KY;140MC2EB63KY;F;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140MC2EC10;140MC2EC10;F;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
140MC2EC20;140MC2EC20;F;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
140MCAFA01;140MCAFA01;F 26;4;0;ALLEN BRADLEY;;;#N/D;;4;0;
140MCAFA11;140MCAFA11;F;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
140MCASA11;140MCASA11;F;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
140MCASA20;140MCASA20;F 33;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
140MCASAR01M10;140MCASAR01M10;F 33;5;0;ALLEN BRADLEY;;;#N/D;;5;0;
140MCKN1;140MCKN1;F 26;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140MCN45;140MCN45;F 31;90;0;ALLEN BRADLEY;;;#N/D;;90;0;
140MCPNC23;140MCPNC23;F 26;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140MCSHS;140MCSHS;F 33;3;0;ALLEN BRADLEY;;;#N/D;;3;0;
140MCSNZJ;140MCSNZJ;F 33;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140MCW543;140MCW543;F 26;4;0;ALLEN BRADLEY;;;#N/D;;4;0;
140M-C-WTEN;140M-C-WTEN;F 26;48;0;ALLEN BRADLEY;;;#N/D;;48;0;
